idx,text,label,style,scenario_type,has_codeword,codeword,text_masked,vessel,call_sign,mmsi,location,weather,pob,nature,injury
10,"SECURITE, SECURITE, SECURITE. This is the fishing vessel Ocean Voyager, calling all stations. We are relaying a medical issue reported by M/V Sea Breeze. They are currently at 34°12' N, 75°30' W. The weather is calm, 5 knots from the east, with clear skies. They have one crew member suffering from severe abdominal pain and require immediate assistance. There are 6 persons on board. Please advise on the nearest medical vessel that can assist. Ocean Voyager out.",Safety,third_party,medical_issue,True,SECURITE,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Ocean Voyager, calling all stations. We are relaying a medical issue reported by M/V Sea Breeze. They are currently at 34°12' N, 75°30' W. The weather is calm, 5 knots from the east, with clear skies. They have one crew member suffering from severe abdominal pain and require immediate assistance. There are 6 persons on board. Please advise on the nearest medical vessel that can assist. Ocean Voyager out.",Ocean Voyager,N/A,N/A,"34°12' N, 75°30' W","calm, 5 knots from the east, clear skies",6,medical issue,severe abdominal pain
11,"SECURITE, SECURITE, SECURITE. This is the fishing vessel Ocean Quest, call sign WXYZ123, currently located at latitude 34 degrees 12.5 minutes North, longitude 76 degrees 45.8 minutes West. We are experiencing a steering failure and are unable to maneuver. Weather conditions are calm with visibility good and winds at 5 knots from the southeast. We have 4 persons on board and no injuries reported. Requesting information on nearby vessels and assistance in navigating to a safe anchorage. Over.",Safety,formal,steering_failure,True,SECURITE,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Ocean Quest, call sign WXYZ123, currently located at latitude 34 degrees 12.5 minutes North, longitude 76 degrees 45.8 minutes West. We are experiencing a steering failure and are unable to maneuver. Weather conditions are calm with visibility good and winds at 5 knots from the southeast. We have 4 persons on board and no injuries reported. Requesting information on nearby vessels and assistance in navigating to a safe anchorage. Over.",Ocean Quest,WXYZ123,123456789,"latitude 34 degrees 12.5 minutes North, longitude 76 degrees 45.8 minutes West","calm, visibility good, winds at 5 knots from the southeast",4,steering failure,none
12,"This is the motor vessel Ocean Voyager, call sign ABC123, currently positioned at latitude 34 degrees 12 minutes North and longitude 118 degrees 30 minutes West. We are experiencing a minor engine issue but no immediate danger. However, we require a tow to the nearest port for repairs. Weather conditions are calm, with visibility at approximately 10 nautical miles and winds from the southeast at 5 knots. We have 5 persons on board. Please advise if assistance is available. Over.",Routine,formal,tow_request,False,NONE,"This is the motor vessel Ocean Voyager, call sign ABC123, currently positioned at latitude 34 degrees 12 minutes North and longitude 118 degrees 30 minutes West. We are experiencing a minor engine issue but no immediate danger. However, we require a tow to the nearest port for repairs. Weather conditions are calm, with visibility at approximately 10 nautical miles and winds from the southeast at 5 knots. We have 5 persons on board. Please advise if assistance is available. Over.",Ocean Voyager,ABC123,123456789,"latitude 34 degrees 12 minutes North, longitude 118 degrees 30 minutes West","calm, visibility 10 nautical miles, winds from southeast at 5 knots",5,minor engine issue,none
13,"This is the fishing vessel Ocean Pearl, calling on behalf of the yacht Serenity. I am relaying a distress message. Serenity reports they are taking on water and require immediate assistance. Their position is 34 degrees 12 minutes north, 76 degrees 45 minutes west. Weather conditions are deteriorating, with 25 knots winds and 3-meter swells. They have 4 persons on board and are in urgent need of a radio check. Repeat, MAYDAY, they need to confirm communication. Over.",Distress,third_party,radio_check,True,MAYDAY,"This is the fishing vessel Ocean Pearl, calling on behalf of the yacht Serenity. I am relaying a distress message. Serenity reports they are taking on water and require immediate assistance. Their position is 34 degrees 12 minutes north, 76 degrees 45 minutes west. Weather conditions are deteriorating, with 25 knots winds and 3-meter swells. They have 4 persons on board and are in urgent need of a radio check. Repeat, [SIGNAL], they need to confirm communication. Over.",Ocean Pearl,WDL1234,123456789,"34 degrees 12 minutes north, 76 degrees 45 minutes west","25 knots winds, 3-meter swells",4,taking on water,
14,"This is the Fishing Vessel Silverfin relaying a radio check request from the Cargo Ship Horizon Queen. The Horizon Queen is currently positioned at Latitude 37.5 North, Longitude 122.3 West, and is experiencing calm seas with light winds. They would like to confirm the clarity of their transmission. Additionally, I’d like to mention that the Horizon Queen was involved in a near-miss incident last month, which was resolved without injury. Please respond to their request. Over.",Routine,third_party,radio_check,False,NONE,"This is the Fishing Vessel Silverfin relaying a radio check request from the Cargo Ship Horizon Queen. The Horizon Queen is currently positioned at Latitude 37.5 North, Longitude 122.3 West, and is experiencing calm seas with light winds. They would like to confirm the clarity of their transmission. Additionally, I’d like to mention that the Horizon Queen was involved in a near-miss incident last month, which was resolved without injury. Please respond to their request. Over.",Horizon Queen,null,null,"Latitude 37.5 North, Longitude 122.3 West",calm seas with light winds,null,null,null
15,"Hey there, this is the 'Ocean Breeze', just wanted to, uh, give you a quick shout. We're about, um, 15 miles east of Point Loma, you know? So, we’re running a drill here. Uh, anyway, we’ve got some engine troubles and... looks like we might need a tow back to port. The seas are pretty calm, like, 2-foot swells, but, uh, we’re not making much headway. Can anyone help us out? Over.",Routine,informal,tow_request,False,NONE,"Hey there, this is the 'Ocean Breeze', just wanted to, uh, give you a quick shout. We're about, um, 15 miles east of Point Loma, you know? So, we’re running a drill here. Uh, anyway, we’ve got some engine troubles and... looks like we might need a tow back to port. The seas are pretty calm, like, 2-foot swells, but, uh, we’re not making much headway. Can anyone help us out? Over.",Ocean Breeze,WDC1234,123456789,15 miles east of Point Loma,"2-foot swells, calm",5,engine troubles,none
16,"Uh, this is the fishing boat Sea Breeze, uh, we just, um, had a guy go overboard. I think it was, like, around, uh, 12:30, and we're about, uh, two miles off the coast of Sandy Cove. The sea's kinda rough, real choppy out here, and, uh, it's windy too, I’d say about 20 knots. We're trying to turn around but, um, I don’t see him yet. There’s, like, four of us on board, and, um, we could really use some help! Over.",Distress,informal,person_overboard,False,NONE,"Uh, this is the fishing boat Sea Breeze, uh, we just, um, had a guy go overboard. I think it was, like, around, uh, 12:30, and we're about, uh, two miles off the coast of Sandy Cove. The sea's kinda rough, real choppy out here, and, uh, it's windy too, I’d say about 20 knots. We're trying to turn around but, um, I don’t see him yet. There’s, like, four of us on board, and, um, we could really use some help! Over.",Sea Breeze,,,two miles off the coast of Sandy Cove,"rough seas, windy, about 20 knots",4,person overboard,
17,"SECURITE, SECURITE, SECURITE. This is the fishing vessel Ocean Hunter, call sign C4RX9, currently at position 37 degrees 45 minutes North, 123 degrees 15 minutes West. We are requesting assistance for a tow due to engine failure. Weather conditions are moderate, with a light swell and winds from the northeast at 10 knots. There are 4 persons on board, all safe but unable to navigate. We request a tow to the nearest safe harbor, which is approximately 15 nautical miles to the south. Over.",Safety,formal,tow_request,True,SECURITE,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Ocean Hunter, call sign C4RX9, currently at position 37 degrees 45 minutes North, 123 degrees 15 minutes West. We are requesting assistance for a tow due to engine failure. Weather conditions are moderate, with a light swell and winds from the northeast at 10 knots. There are 4 persons on board, all safe but unable to navigate. We request a tow to the nearest safe harbor, which is approximately 15 nautical miles to the south. Over.",Ocean Hunter,C4RX9,,"37 degrees 45 minutes North, 123 degrees 15 minutes West","moderate, light swell, winds from the northeast at 10 knots",4,engine failure,
18,"This is the vessel MS Horizon, call sign ABC123, reporting a collision with MV Ocean Spirit, call sign DEF456. The incident occurred at approximately 37 degrees 45 minutes North and 122 degrees 30 minutes West. We are currently in calm seas with visibility at about 5 nautical miles. All persons on board the MS Horizon, totaling twelve, are safe; however, MV Ocean Spirit has sustained significant damage and is listing. Requesting immediate assistance in the vicinity. Over.",Routine,formal,collision,False,NONE,"This is the vessel MS Horizon, call sign ABC123, reporting a collision with MV Ocean Spirit, call sign DEF456. The incident occurred at approximately 37 degrees 45 minutes North and 122 degrees 30 minutes West. We are currently in calm seas with visibility at about 5 nautical miles. All persons on board the MS Horizon, totaling twelve, are safe; however, MV Ocean Spirit has sustained significant damage and is listing. Requesting immediate assistance in the vicinity. Over.",MS Horizon,ABC123,123456789,37 degrees 45 minutes North and 122 degrees 30 minutes West,"calm seas, visibility 5 nautical miles",12,collision,none
19,"This is the fishing vessel Ocean Hunter relaying an urgent message. We have received a distress call from the cargo ship Horizon Trader, currently adrift at approximately 34° 12' N, 75° 30' W. They report a steering failure and are unable to maneuver. The conditions are worsening with 3-meter swells and 30-knot winds. The vessel has six persons on board and they are requesting immediate assistance. They have declared a MAYDAY. Over.",Distress,third_party,steering_failure,True,MAYDAY,"This is the fishing vessel Ocean Hunter relaying an urgent message. We have received a distress call from the cargo ship Horizon Trader, currently adrift at approximately 34° 12' N, 75° 30' W. They report a steering failure and are unable to maneuver. The conditions are worsening with 3-meter swells and 30-knot winds. The vessel has six persons on board and they are requesting immediate assistance. They have declared a [SIGNAL]. Over.",Horizon Trader,KLMN1234,123456789,"34° 12' N, 75° 30' W","3-meter swells, 30-knot winds",6,steering failure,none
20,"MAYDAY, MAYDAY, MAYDAY! This is the fishing trawler ‘Ocean Pearl’, call sign ABC123, we’re about... uh, 5 nautical miles off Cape Hatteras. We’ve got smoke, I mean, a lot of smoke, and a fire’s starting in the engine room. It’s spreading fast! Conditions are rough, wind’s picking up, and it’s kinda rainy too. We’ve got 6 people on board, and, uh, I don’t know how long we can hold out. Please, we need help—like now! Over.",Distress,informal,fire_smoke,True,MAYDAY,"[SIGNAL], [SIGNAL], [SIGNAL]! This is the fishing trawler ‘Ocean Pearl’, call sign ABC123, we’re about... uh, 5 nautical miles off Cape Hatteras. We’ve got smoke, I mean, a lot of smoke, and a fire’s starting in the engine room. It’s spreading fast! Conditions are rough, wind’s picking up, and it’s kinda rainy too. We’ve got 6 people on board, and, uh, I don’t know how long we can hold out. Please, we need help—like now! Over.",Ocean Pearl,ABC123,,5 nautical miles off Cape Hatteras,"rough, rainy",6,fire in engine room,
21,"This is a relay from the vessel Ocean Explorer. At 37 degrees 45 minutes North, 122 degrees 22 minutes West, a person has fallen overboard. The incident occurred while they were engaged in deck activities. The sea is reported to be moderate, with a light breeze from the southwest. There are eight persons on board the Ocean Explorer. Crew members are currently conducting a search in the immediate vicinity. All vessels in the area are requested to keep a lookout and assist if possible.",Routine,third_party,person_overboard,False,NONE,"This is a relay from the vessel Ocean Explorer. At 37 degrees 45 minutes North, 122 degrees 22 minutes West, a person has fallen overboard. The incident occurred while they were engaged in deck activities. The sea is reported to be moderate, with a light breeze from the southwest. There are eight persons on board the Ocean Explorer. Crew members are currently conducting a search in the immediate vicinity. All vessels in the area are requested to keep a lookout and assist if possible.",Ocean Explorer,OCE1234,123456789,"37 degrees 45 minutes North, 122 degrees 22 minutes West","moderate sea, light breeze from southwest",8,person overboard,
22,"PAN PAN, PAN PAN, PAN PAN. This is the motor vessel Ocean Explorer, call sign ABCD123, MMSI 123456789. Current position: 34 degrees 15.5 minutes North, 120 degrees 45.3 minutes West. We are experiencing a fire in the engine room, producing significant smoke. Weather conditions are calm with a light breeze. There are 20 persons on board; no injuries reported at this time. Requesting immediate assistance and guidance on containment procedures. Over.",Urgency,formal,fire_smoke,True,PAN PAN,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the motor vessel Ocean Explorer, call sign ABCD123, MMSI 123456789. Current position: 34 degrees 15.5 minutes North, 120 degrees 45.3 minutes West. We are experiencing a fire in the engine room, producing significant smoke. Weather conditions are calm with a light breeze. There are 20 persons on board; no injuries reported at this time. Requesting immediate assistance and guidance on containment procedures. Over.",Ocean Explorer,ABCD123,123456789,"34 degrees 15.5 minutes North, 120 degrees 45.3 minutes West",calm with a light breeze,20,fire in the engine room,none
23,"This is a relay from the fishing vessel Ocean's Bounty. They report a medical issue onboard. The vessel is currently at 34 degrees 18 minutes North and 78 degrees 56 minutes West. Weather conditions are calm, with a light swell and visibility good. There are five persons on board. One crew member has suffered a severe allergic reaction and requires immediate medical assistance. They are unable to navigate towards the nearest port without assistance. Any vessels in the vicinity, please respond.",Urgency,third_party,medical_issue,False,NONE,"This is a relay from the fishing vessel Ocean's Bounty. They report a medical issue onboard. The vessel is currently at 34 degrees 18 minutes North and 78 degrees 56 minutes West. Weather conditions are calm, with a light swell and visibility good. There are five persons on board. One crew member has suffered a severe allergic reaction and requires immediate medical assistance. They are unable to navigate towards the nearest port without assistance. Any vessels in the vicinity, please respond.",Ocean's Bounty,,,34°18'N 78°56'W,"calm, light swell, good visibility",5,medical issue,severe allergic reaction
24,"This is a relay from the fishing vessel Ocean Echo. They report a submerged object at position 34 degrees 15.8 minutes North, 121 degrees 38.2 minutes West. The object is NOT marked on any charts and poses a potential hazard to navigation. The sea conditions are calm, with visibility at approximately 10 nautical miles. The Ocean Echo advises all vessels to exercise caution in this area. This is NOT a distress situation, but immediate awareness is recommended for safe passage. Over.",Routine,third_party,nav_hazard,False,NONE,"This is a relay from the fishing vessel Ocean Echo. They report a submerged object at position 34 degrees 15.8 minutes North, 121 degrees 38.2 minutes West. The object is NOT marked on any charts and poses a potential hazard to navigation. The sea conditions are calm, with visibility at approximately 10 nautical miles. The Ocean Echo advises all vessels to exercise caution in this area. This is NOT a distress situation, but immediate awareness is recommended for safe passage. Over.",Ocean Echo,,,34°15.8'N 121°38.2'W,"Calm, visibility 10 nautical miles",,Submerged object reported,
25,"This is the fishing vessel Ocean Seeker relaying an urgent medical issue. They are currently at position 37 degrees 12 minutes North, 122 degrees 45 minutes West. The crew reports that one of their fishermen has sustained a severe laceration and is experiencing significant blood loss. The weather is clear with gentle seas, but the nearest port is approximately four hours away at their current speed. They request immediate assistance or advice on how to stabilize the patient until help arrives. Over.",Safety,third_party,medical_issue,False,NONE,"This is the fishing vessel Ocean Seeker relaying an urgent medical issue. They are currently at position 37 degrees 12 minutes North, 122 degrees 45 minutes West. The crew reports that one of their fishermen has sustained a severe laceration and is experiencing significant blood loss. The weather is clear with gentle seas, but the nearest port is approximately four hours away at their current speed. They request immediate assistance or advice on how to stabilize the patient until help arrives. Over.",Ocean Seeker,WXYZ1234,123456789,"37°12'N, 122°45'W",Clear with gentle seas,5,Severe laceration,Significant blood loss
26,"This is the fishing vessel Sea Hunter, call sign WQXYZ. We are currently at position 34 degrees 21 minutes North, 76 degrees 45 minutes West. We have a person overboard in moderate seas and a steady wind from the northeast at 15 knots. We are conducting a search with three crew members on the water, but the visibility is poor due to increasing waves. There are four persons on board. We request immediate assistance as the situation is critical. Over.",Distress,formal,person_overboard,False,NONE,"This is the fishing vessel Sea Hunter, call sign WQXYZ. We are currently at position 34 degrees 21 minutes North, 76 degrees 45 minutes West. We have a person overboard in moderate seas and a steady wind from the northeast at 15 knots. We are conducting a search with three crew members on the water, but the visibility is poor due to increasing waves. There are four persons on board. We request immediate assistance as the situation is critical. Over.",Sea Hunter,WQXYZ,null,"34 degrees 21 minutes North, 76 degrees 45 minutes West","moderate seas, wind from the northeast at 15 knots, poor visibility",4,person overboard,null
27,"Hey there, this is the Sea Breeze. Um, we, uh, seem to have a bit of an engine issue here. We're currently drifting, uh, about, oh, 10 miles off the coast of Cape May, you know? The weather's pretty calm, just some light winds and a few clouds. We're all okay on board, just three of us. Uh, not sure what's wrong but, uh, we might need a tow or some assistance, if anyone's nearby. Over.",Routine,informal,engine_failure,False,NONE,"Hey there, this is the Sea Breeze. Um, we, uh, seem to have a bit of an engine issue here. We're currently drifting, uh, about, oh, 10 miles off the coast of Cape May, you know? The weather's pretty calm, just some light winds and a few clouds. We're all okay on board, just three of us. Uh, not sure what's wrong but, uh, we might need a tow or some assistance, if anyone's nearby. Over.",Sea Breeze,N12345,123456789,10 miles off the coast of Cape May,"light winds, few clouds",3,engine failure,none
28,"Hey, this is the S.S. Adventure, uh, we’ve run aground just off the coast near Coral Bay, um, trying to get our position sorted but, I think we’re like 18 degrees north and 72 degrees west, I guess? The weather’s been a bit rough, slight swell, and, uh, it’s kinda overcast. We’ve got five crew on board, all good, but, yeah, just need some assistance to get off this, uh, sandbank. Not taking on water or anything, just stuck, you know? Over.",Routine,informal,grounding,False,NONE,"Hey, this is the S.S. Adventure, uh, we’ve run aground just off the coast near Coral Bay, um, trying to get our position sorted but, I think we’re like 18 degrees north and 72 degrees west, I guess? The weather’s been a bit rough, slight swell, and, uh, it’s kinda overcast. We’ve got five crew on board, all good, but, yeah, just need some assistance to get off this, uh, sandbank. Not taking on water or anything, just stuck, you know? Over.",S.S. Adventure,NONE,NONE,"18°N 72°W, Coral Bay",overcast with slight swell,5,grounding,none
29,"Attention all vessels in the vicinity. This is MV Ocean Explorer, call sign OCE1234, currently at position 37 degrees 52 minutes North, 122 degrees 30 minutes West. We have encountered a significant navigational hazard. A submerged wreck has been reported in our immediate area, indicated by a floating debris field. Weather conditions are calm with visibility at 10 nautical miles. There are 12 persons on board, and no injuries have been reported at this time. Advise caution when transiting this area. Over.",Urgency,formal,nav_hazard,False,NONE,"Attention all vessels in the vicinity. This is MV Ocean Explorer, call sign OCE1234, currently at position 37 degrees 52 minutes North, 122 degrees 30 minutes West. We have encountered a significant navigational hazard. A submerged wreck has been reported in our immediate area, indicated by a floating debris field. Weather conditions are calm with visibility at 10 nautical miles. There are 12 persons on board, and no injuries have been reported at this time. Advise caution when transiting this area. Over.",MV Ocean Explorer,OCE1234,123456789,"37°52'N, 122°30'W","calm, visibility 10 nautical miles",12,navigational hazard,none
30,"SECURITE, SECURITE, SECURITE. This is the cargo vessel MV Ocean Explorer, call sign ABC123. Current position 35 degrees 12 minutes North, 75 degrees 52 minutes West. We are reporting a significant cargo shift due to heavy rolling in a harsh sea state, with 4-meter swells and winds at 25 knots. All crew are accounted for, and no injuries have been reported. We are taking measures to stabilize the load. Requesting situational awareness from nearby vessels. Over.",Safety,formal,cargo_shift,True,SECURITE,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the cargo vessel MV Ocean Explorer, call sign ABC123. Current position 35 degrees 12 minutes North, 75 degrees 52 minutes West. We are reporting a significant cargo shift due to heavy rolling in a harsh sea state, with 4-meter swells and winds at 25 knots. All crew are accounted for, and no injuries have been reported. We are taking measures to stabilize the load. Requesting situational awareness from nearby vessels. Over.",MV Ocean Explorer,ABC123,,"35 degrees 12 minutes North, 75 degrees 52 minutes West","4-meter swells, winds at 25 knots",10,cargo shift,none
31,"This is a report from the fishing vessel Ocean Hunter. At approximately 45 degrees 30 minutes North and 123 degrees 45 minutes West, we observed a collision between the cargo ship Sea Trader and the yacht Blue Horizon. Both vessels have sustained damage. The Sea Trader appears to be taking on water, and the yacht has a few crew members in the water. Weather conditions are clear with moderate winds. The Ocean Hunter is proceeding to assist with recovery efforts. Requesting immediate assistance in this area.",Urgency,third_party,collision,False,NONE,"This is a report from the fishing vessel Ocean Hunter. At approximately 45 degrees 30 minutes North and 123 degrees 45 minutes West, we observed a collision between the cargo ship Sea Trader and the yacht Blue Horizon. Both vessels have sustained damage. The Sea Trader appears to be taking on water, and the yacht has a few crew members in the water. Weather conditions are clear with moderate winds. The Ocean Hunter is proceeding to assist with recovery efforts. Requesting immediate assistance in this area.",Ocean Hunter,N/A,N/A,45 degrees 30 minutes North and 123 degrees 45 minutes West,clear with moderate winds,N/A,collision between Sea Trader and Blue Horizon,crew members in the water
