idx,wav_path_clean,label,style,scenario_type,speaker
39,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/39.wav,Safety,formal,person_overboard,
40,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/40.wav,Safety,third_party,fire_smoke,
41,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/41.wav,Distress,third_party,cargo_shift,
42,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/42.wav,Safety,informal,person_overboard,
43,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/43.wav,Distress,third_party,cargo_shift,
44,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/44.wav,Routine,third_party,radio_check,
45,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/45.wav,Routine,informal,engine_failure,
46,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/46.wav,Urgency,informal,grounding,
47,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/47.wav,Distress,informal,grounding,
48,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/48.wav,Urgency,informal,tow_request,
49,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/49.wav,Distress,third_party,fire_smoke,
50,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/50.wav,Routine,formal,fire_smoke,
51,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/51.wav,Routine,formal,cargo_shift,
52,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/52.wav,Routine,third_party,medical_issue,
53,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/53.wav,Urgency,third_party,water_ingress,
54,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/54.wav,Urgency,formal,tow_request,
55,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/55.wav,Routine,informal,medical_issue,
56,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/56.wav,Safety,formal,radio_check,
57,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/57.wav,Urgency,third_party,steering_failure,
58,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/58.wav,Distress,formal,engine_failure,
59,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/59.wav,Urgency,formal,nav_hazard,
60,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/60.wav,Urgency,formal,engine_failure,
61,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/61.wav,Urgency,informal,tow_request,
62,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/62.wav,Urgency,informal,grounding,
63,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/63.wav,Safety,formal,water_ingress,
64,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/64.wav,Urgency,informal,radio_check,
65,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/65.wav,Distress,third_party,medical_issue,
66,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/66.wav,Routine,formal,medical_issue,
67,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/67.wav,Distress,formal,radio_check,
68,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/68.wav,Distress,formal,nav_hazard,
69,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/69.wav,Safety,informal,grounding,
70,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/70.wav,Distress,informal,medical_issue,
71,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/71.wav,Safety,formal,engine_failure,
72,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/72.wav,Safety,formal,engine_failure,
73,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/73.wav,Safety,third_party,grounding,
74,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/74.wav,Urgency,formal,collision,
75,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/75.wav,Distress,informal,water_ingress,
76,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/76.wav,Routine,informal,person_overboard,
77,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/77.wav,Safety,formal,fire_smoke,
78,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/78.wav,Safety,third_party,nav_hazard,
79,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/79.wav,Safety,formal,collision,
80,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/80.wav,Distress,third_party,person_overboard,
81,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/81.wav,Urgency,informal,engine_failure,
82,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/82.wav,Routine,third_party,grounding,
83,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/83.wav,Routine,formal,tow_request,
84,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/84.wav,Safety,informal,nav_hazard,
85,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/85.wav,Urgency,formal,grounding,
86,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/86.wav,Routine,third_party,person_overboard,
87,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/87.wav,Distress,third_party,person_overboard,
88,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/88.wav,Urgency,formal,tow_request,
89,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/89.wav,Distress,third_party,steering_failure,
90,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/90.wav,Routine,third_party,medical_issue,
91,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/91.wav,Distress,third_party,medical_issue,
92,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/92.wav,Routine,third_party,tow_request,
93,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/93.wav,Routine,informal,collision,
94,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/94.wav,Distress,informal,medical_issue,
95,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/95.wav,Distress,third_party,grounding,
96,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/96.wav,Safety,formal,cargo_shift,
97,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/97.wav,Distress,third_party,fire_smoke,
98,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/98.wav,Urgency,formal,cargo_shift,
99,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/99.wav,Urgency,formal,fire_smoke,
100,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/100.wav,Distress,formal,grounding,
101,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/101.wav,Routine,formal,radio_check,
102,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/102.wav,Distress,formal,grounding,
103,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/103.wav,Routine,formal,radio_check,
104,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/104.wav,Distress,formal,collision,
105,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/105.wav,Distress,formal,water_ingress,
106,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/106.wav,Distress,formal,medical_issue,
107,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/107.wav,Distress,third_party,grounding,
108,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/108.wav,Safety,third_party,grounding,
109,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/109.wav,Urgency,informal,tow_request,
110,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/110.wav,Urgency,third_party,water_ingress,
111,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/111.wav,Urgency,informal,steering_failure,
112,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/112.wav,Safety,formal,radio_check,
113,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/113.wav,Distress,formal,grounding,
114,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/114.wav,Routine,formal,engine_failure,
115,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/115.wav,Distress,formal,engine_failure,
116,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/116.wav,Safety,formal,person_overboard,
117,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/117.wav,Urgency,formal,medical_issue,
118,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/118.wav,Distress,formal,water_ingress,
119,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/119.wav,Urgency,formal,steering_failure,
120,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/120.wav,Safety,formal,collision,
121,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/121.wav,Urgency,informal,tow_request,
122,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/122.wav,Distress,third_party,nav_hazard,
123,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/123.wav,Distress,informal,water_ingress,
124,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/124.wav,Distress,formal,cargo_shift,
125,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/125.wav,Urgency,third_party,cargo_shift,p277
126,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/126.wav,Urgency,third_party,grounding,p334
127,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/127.wav,Distress,third_party,tow_request,p239
128,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/128.wav,Distress,formal,tow_request,p364
129,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/129.wav,Safety,informal,water_ingress,p301
130,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/130.wav,Urgency,third_party,water_ingress,p286
131,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/131.wav,Routine,informal,person_overboard,p246
132,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/132.wav,Routine,third_party,nav_hazard,p360
133,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/133.wav,Safety,third_party,collision,p313
134,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/134.wav,Urgency,formal,engine_failure,p318
135,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/135.wav,Safety,informal,cargo_shift,p304
136,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/136.wav,Routine,formal,water_ingress,p304
137,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/137.wav,Distress,third_party,person_overboard,p323
138,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/138.wav,Distress,formal,steering_failure,p345
139,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/139.wav,Distress,third_party,water_ingress,p361
140,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/140.wav,Safety,informal,medical_issue,p249
141,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/141.wav,Routine,formal,steering_failure,p226
142,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/142.wav,Safety,informal,collision,p247
143,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/143.wav,Distress,formal,person_overboard,p278
144,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/144.wav,Urgency,informal,cargo_shift,p225
145,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/145.wav,Safety,formal,steering_failure,p323
146,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/146.wav,Distress,formal,cargo_shift,p374
147,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/147.wav,Safety,formal,grounding,p255
148,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/148.wav,Routine,formal,medical_issue,p263
149,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/149.wav,Distress,formal,medical_issue,p225
150,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/150.wav,Urgency,informal,water_ingress,p292
151,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/151.wav,Urgency,third_party,water_ingress,p285
152,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/152.wav,Urgency,informal,fire_smoke,p246
153,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/153.wav,Safety,formal,engine_failure,p258
154,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/154.wav,Routine,informal,nav_hazard,p305
155,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/155.wav,Urgency,third_party,fire_smoke,p283
156,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/156.wav,Routine,formal,grounding,p247
157,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/157.wav,Routine,informal,water_ingress,p374
158,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/158.wav,Safety,formal,radio_check,p326
159,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/159.wav,Safety,informal,person_overboard,p274
160,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/160.wav,Distress,third_party,water_ingress,p330
161,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/161.wav,Routine,formal,steering_failure,p284
162,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/162.wav,Urgency,formal,collision,p267
163,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/163.wav,Routine,third_party,steering_failure,p333
164,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/164.wav,Urgency,informal,water_ingress,p285
165,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/165.wav,Safety,formal,water_ingress,p310
166,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/166.wav,Urgency,formal,water_ingress,p239
167,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/167.wav,Distress,third_party,fire_smoke,p287
168,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/168.wav,Urgency,informal,tow_request,p287
169,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/169.wav,Urgency,informal,collision,p272
170,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/170.wav,Safety,formal,steering_failure,p287
171,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/171.wav,Routine,formal,tow_request,p276
172,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/172.wav,Safety,third_party,collision,p374
173,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/173.wav,Distress,informal,fire_smoke,p280
174,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/174.wav,Urgency,third_party,engine_failure,p292
175,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/175.wav,Urgency,formal,nav_hazard,p226
176,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/176.wav,Safety,formal,collision,p347
177,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/177.wav,Distress,formal,water_ingress,p276
178,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/178.wav,Urgency,third_party,grounding,p230
179,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/179.wav,Safety,informal,grounding,p246
180,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/180.wav,Distress,informal,cargo_shift,p302
181,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/181.wav,Distress,formal,engine_failure,p264
182,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/182.wav,Urgency,informal,grounding,p243
183,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/183.wav,Distress,informal,tow_request,p227
184,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/184.wav,Distress,third_party,collision,p326
185,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/185.wav,Urgency,third_party,collision,p285
186,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/186.wav,Safety,informal,engine_failure,p238
187,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/187.wav,Safety,third_party,nav_hazard,p232
188,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/188.wav,Routine,third_party,collision,p329
189,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/189.wav,Distress,formal,grounding,p278
190,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/190.wav,Urgency,informal,fire_smoke,p225
191,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/191.wav,Urgency,formal,grounding,p314
192,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/192.wav,Urgency,formal,grounding,p333
193,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/193.wav,Routine,formal,steering_failure,p285
194,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/194.wav,Routine,formal,cargo_shift,p300
195,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/195.wav,Urgency,informal,grounding,p269
196,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/196.wav,Distress,informal,person_overboard,p231
197,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/197.wav,Distress,third_party,grounding,p272
198,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/198.wav,Safety,informal,radio_check,p260
199,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/199.wav,Urgency,formal,steering_failure,p307
200,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/200.wav,Urgency,third_party,person_overboard,p311
201,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/201.wav,Routine,formal,radio_check,p261
202,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/202.wav,Distress,formal,radio_check,p275
203,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/203.wav,Urgency,informal,nav_hazard,p361
204,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/204.wav,Distress,third_party,engine_failure,p227
205,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/205.wav,Urgency,informal,person_overboard,p225
206,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/206.wav,Distress,third_party,steering_failure,p229
207,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/207.wav,Distress,informal,grounding,p279
208,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/208.wav,Routine,third_party,radio_check,p363
209,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/209.wav,Distress,informal,radio_check,p227
210,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/210.wav,Routine,formal,person_overboard,p279
211,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/211.wav,Urgency,informal,medical_issue,p334
212,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/212.wav,Distress,formal,tow_request,p288
213,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/213.wav,Distress,third_party,water_ingress,p243
214,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/214.wav,Urgency,third_party,medical_issue,p329
215,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/215.wav,Urgency,informal,nav_hazard,p269
216,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/216.wav,Distress,third_party,grounding,p259
217,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/217.wav,Distress,informal,tow_request,p303
218,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/218.wav,Urgency,informal,medical_issue,p287
219,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/219.wav,Routine,third_party,person_overboard,p345
220,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/220.wav,Distress,informal,person_overboard,p238
221,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/221.wav,Distress,third_party,water_ingress,p336
222,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/222.wav,Routine,informal,water_ingress,p273
223,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/223.wav,Distress,formal,tow_request,p239
224,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/224.wav,Safety,informal,person_overboard,p301
225,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/225.wav,Routine,third_party,radio_check,p307
226,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/226.wav,Routine,informal,fire_smoke,p318
227,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/227.wav,Distress,third_party,water_ingress,p287
228,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/228.wav,Distress,informal,engine_failure,p265
229,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/229.wav,Routine,formal,steering_failure,p316
230,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/230.wav,Safety,informal,steering_failure,p310
231,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/231.wav,Safety,informal,water_ingress,p376
232,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/232.wav,Safety,third_party,cargo_shift,p312
233,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/233.wav,Distress,third_party,nav_hazard,p278
234,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/234.wav,Distress,informal,cargo_shift,p249
235,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/235.wav,Distress,informal,nav_hazard,p251
236,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/236.wav,Routine,third_party,engine_failure,p326
237,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/237.wav,Distress,formal,steering_failure,p285
238,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/238.wav,Urgency,informal,engine_failure,p376
239,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/239.wav,Urgency,informal,medical_issue,p266
240,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/240.wav,Urgency,formal,person_overboard,p254
241,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/241.wav,Urgency,formal,tow_request,p239
242,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/242.wav,Safety,formal,medical_issue,p270
243,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/243.wav,Safety,informal,cargo_shift,p293
244,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/244.wav,Safety,informal,fire_smoke,p326
245,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/245.wav,Routine,informal,medical_issue,p300
246,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/246.wav,Safety,informal,person_overboard,p232
247,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/247.wav,Urgency,formal,person_overboard,p323
248,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/248.wav,Urgency,formal,cargo_shift,"ED
"
249,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/249.wav,Urgency,formal,fire_smoke,p374
250,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/250.wav,Routine,third_party,tow_request,p231
251,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/251.wav,Distress,formal,nav_hazard,p323
252,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/252.wav,Safety,formal,fire_smoke,p288
253,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/253.wav,Safety,third_party,grounding,p234
254,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/254.wav,Safety,informal,water_ingress,p311
255,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/255.wav,Routine,informal,medical_issue,p231
256,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/256.wav,Distress,third_party,steering_failure,p260
257,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/257.wav,Distress,formal,person_overboard,p260
258,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/258.wav,Distress,informal,fire_smoke,p258
259,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/259.wav,Routine,third_party,grounding,p228
260,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/260.wav,Distress,informal,grounding,p363
261,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/261.wav,Distress,third_party,engine_failure,p360
262,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/262.wav,Safety,third_party,collision,p266
263,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/263.wav,Safety,third_party,fire_smoke,p253
264,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/264.wav,Safety,formal,grounding,p230
265,/content/drive/MyDrive/SeaAlert/data/audio_clean/wav/265.wav,Safety,formal,steering_failure,p302
