idx,split
814,train
815,train
816,train
817,train
818,test
819,train
820,train
821,train
822,train
823,train
824,test
825,val
826,train
827,train
828,train
829,train
830,val
831,train
832,train
833,test
834,train
835,val
836,train
837,train
838,train
839,train
840,train
841,train
842,train
843,train
844,val
845,val
846,train
847,train
848,train
849,train
850,train
851,train
852,train
853,train
854,train
855,train
856,train
857,val
858,test
859,train
860,train
861,train
862,train
863,test
864,train
865,train
866,train
867,train
868,train
869,train
870,test
871,train
872,train
873,train
874,train
875,train
876,val
877,train
878,train
879,train
880,val
881,val
882,test
883,train
884,train
885,train
886,train
887,train
888,train
889,train
890,train
891,train
892,val
893,test
894,train
895,train
896,val
897,train
898,train
899,val
900,train
901,train
902,test
903,train
904,train
905,train
906,val
907,train
908,train
909,train
910,train
911,train
912,train
913,train
914,train
915,train
916,train
917,train
918,train
919,train
920,train
921,train
922,train
923,train
924,train
925,train
926,train
927,train
928,train
929,test
930,val
931,train
932,train
933,train
934,train
935,train
936,train
937,train
938,train
939,train
940,train
941,train
942,train
943,train
944,val
945,test
946,test
947,train
948,train
949,train
950,train
951,train
952,train
953,train
954,train
955,test
956,test
957,val
958,train
959,train
960,test
961,train
962,train
963,train
964,train
965,train
966,test
967,test
968,train
969,train
970,train
971,test
972,train
973,train
974,val
975,train
976,train
977,train
978,val
979,train
980,train
981,test
982,train
983,train
984,train
985,val
986,train
987,val
988,train
989,val
990,test
991,val
992,train
993,train
994,train
995,train
996,train
997,train
998,train
999,train
1000,train
1001,train
1002,train
1003,train
1004,test
1005,train
1006,val
1007,train
1008,test
1009,train
1010,train
1011,train
1012,test
1013,val
1014,train
1015,train
1016,val
1017,train
1018,val
1019,train
1020,test
1021,train
1022,val
1023,test
1024,train
1025,test
1026,train
1027,train
1028,train
1029,train
1030,test
1031,test
1032,train
1033,val
1034,train
1035,train
1036,train
1037,test
1038,train
1039,train
1040,train
1041,train
1042,test
1043,train
1044,train
1045,train
1046,train
1047,train
1048,val
1049,train
1050,train
1051,train
1052,train
1053,train
1054,train
1055,test
1056,test
1057,test
1058,train
1059,train
1060,train
1061,train
1062,train
1063,train
1064,test
1065,test
1066,train
1067,train
1068,train
1069,train
1070,test
1071,train
1072,train
1073,train
1074,train
1075,train
1076,train
1077,train
1078,test
1079,test
1080,train
1081,train
1082,val
1083,val
1084,train
1085,train
1086,train
1087,train
1088,train
1089,train
1090,train
1091,train
1092,test
1093,val
1094,train
1095,train
1096,test
1097,train
1098,train
1099,val
1100,test
1101,train
1102,test
1103,train
1104,train
1105,train
1106,train
1107,train
1108,test
1109,val
1110,train
1111,train
1112,train
1113,val
1114,train
1115,val
1116,train
1117,test
1118,train
1119,train
1120,train
1121,train
1122,val
1123,val
1124,val
1125,test
1126,val
1127,train
1128,train
1129,train
1130,train
1131,train
1132,train
1133,train
1134,val
1135,train
1136,train
1137,test
1138,train
1139,test
1140,train
1141,train
1142,train
1143,train
1144,val
1145,train
1146,train
1147,train
1148,train
1149,train
1150,train
1151,train
1152,train
1153,val
1154,train
1155,train
1156,train
1157,test
1158,train
1159,train
1160,train
1161,val
1162,train
1163,test
1164,train
1165,train
1166,train
1167,train
1168,train
1169,train
1170,train
1171,test
1172,train
1173,train
1174,test
1175,test
1176,val
1177,val
1178,val
1179,val
1180,val
1181,train
1182,train
1183,val
1184,test
1185,train
1186,train
1187,train
1188,train
1189,val
1190,train
1191,train
1192,train
1193,test
1194,test
1195,train
1196,train
1197,train
1198,val
1199,test
1200,train
1201,train
1202,train
1203,test
1204,train
1205,train
1206,test
1207,train
1208,val
1209,val
1210,val
1211,train
1212,test
1213,test
1214,train
1215,test
1216,train
1217,train
1218,val
1219,train
1220,train
1221,val
1222,train
1223,train
1224,train
1225,train
1226,train
1227,train
1228,test
1229,train
1230,val
1231,train
1232,train
1233,train
1234,train
1235,train
1236,test
1237,train
1238,train
1239,train
1240,val
1241,train
1242,train
1243,test
1244,train
1245,train
1246,train
1247,train
1248,test
1249,train
1250,train
1251,train
1252,train
1253,train
1254,train
1255,train
1256,test
1257,train
1258,train
1259,val
1260,train
1261,val
1262,test
1263,train
1264,train
1265,test
1266,train
1267,train
1268,train
1269,test
1270,train
1271,test
1272,test
1273,test
1274,train
1275,train
1276,train
1277,val
1278,train
1279,train
1280,train
1281,test
1282,train
1283,test
1284,train
1285,train
1286,train
1287,train
1288,val
1289,test
1290,val
1291,train
1292,train
1293,train
1294,test
1295,train
1296,train
1297,train
1298,train
1299,train
1300,train
1301,train
1302,train
1303,train
1304,test
1305,test
1306,train
1307,val
1308,train
1309,test
1310,train
1311,val
1312,val
1313,train
1314,val
1315,val
1316,train
1317,test
1318,train
1319,train
1320,train
1321,train
1322,train
1323,val
1324,train
1325,train
1326,test
1327,train
1328,train
1329,train
1330,train
1331,train
1332,val
1333,train
1334,train
1335,train
1336,train
1337,train
1338,train
1339,train
1340,train
1341,train
1342,train
1343,train
1344,train
1345,train
1346,val
1347,train
1348,train
1349,train
1350,test
1351,train
1352,train
1353,train
1354,train
1355,val
1356,train
1357,val
1358,train
1359,train
1360,train
1361,train
1362,train
1363,train
1364,train
1365,test
1366,test
1367,train
1368,train
1369,test
1370,train
1371,val
1372,test
1373,train
1374,train
1375,train
1376,test
1377,train
1378,test
1379,train
1380,train
1381,train
1382,train
1383,val
1384,train
1385,val
1386,val
1387,train
1388,val
1389,val
1390,test
1391,train
1392,train
1393,train
1394,train
1395,train
1396,train
1397,train
1398,train
1399,train
1400,train
1401,val
1402,train
1403,train
1404,test
1405,val
1406,train
1407,test
1408,val
1409,train
1410,train
1411,train
1412,train
1413,train
1414,test
1415,train
1416,train
1417,test
1418,train
1419,train
1420,train
1421,test
1422,train
1423,train
1424,test
1425,train
1426,train
1427,train
1428,val
1429,val
1430,train
1431,test
1432,train
1433,train
1434,val
1435,train
1436,train
1437,train
1438,train
1439,train
1440,train
1441,train
1442,train
1443,test
1444,train
1445,test
1446,test
1447,train
1448,train
1449,train
1450,test
1451,val
1452,train
1453,test
1454,val
1455,train
1456,test
1457,test
1458,train
1459,train
1460,train
1461,test
1462,train
1463,train
1464,train
1465,val
1466,train
1467,val
1468,train
1469,train
1470,train
1471,train
1472,train
1473,train
1474,val
1475,train
1476,train
1477,train
1478,train
1479,val
1480,train
1481,train
1482,train
1483,test
1484,val
1485,val
1486,train
1487,test
1488,train
1489,val
1490,train
1491,val
1492,train
1493,train
1494,train
1495,val
1496,train
1497,test
1498,train
1499,train
1500,train
1501,train
1502,train
1503,train
1504,train
1505,train
1506,test
1507,train
1508,train
1509,val
1510,train
1511,train
1512,val
1513,train
1514,test
1515,train
1516,val
1517,val
1518,train
1519,train
1520,train
1521,train
1522,train
1523,train
1524,val
1525,val
1526,train
1527,train
1528,train
1529,train
1530,train
1531,train
1532,train
1533,train
1534,train
1535,test
1536,train
1537,train
1538,train
1539,train
1540,train
1541,train
1542,test
1543,train
1544,train
1545,train
1546,train
1547,train
1548,val
1549,train
1550,test
1551,train
1552,train
1553,train
1554,val
1555,test
1556,test
1557,train
1558,val
1559,train
1560,train
1561,train
1562,train
1563,val
1564,train
1565,train
1566,test
1567,train
1568,train
1569,train
1570,train
1571,test
1572,val
1573,train
1574,train
1575,train
1576,train
1577,train
1578,train
1579,train
1580,val
1581,train
1582,test
1583,train
1584,test
1585,train
1586,train
1587,test
1588,train
1589,train
1590,train
1591,train
1592,train
1593,train
1594,train
1595,train
1596,train
1597,train
1598,train
1599,train
1600,test
1601,train
1602,train
1603,train
1604,train
1605,train
1606,train
1607,train
1608,val
1609,train
1610,train
1611,train
1612,test
1613,train
1614,val
1615,train
1616,train
1617,train
1618,test
1619,train
1620,train
1621,test
1622,test
1623,val
1624,train
1625,train
1626,train
1627,train
1628,train
1629,test
1630,train
1631,train
1632,train
1633,test
1634,train
1635,train
1636,train
1637,val
1638,train
1639,val
1640,train
1641,train
1642,val
1643,train
1644,train
1645,train
1646,train
1647,val
1648,train
1649,train
1650,train
1651,val
1652,train
1653,train
1654,train
1655,val
1656,train
1657,val
1658,val
1659,train
1660,train
1661,train
1662,train
1663,train
1664,train
1665,test
1666,train
1667,train
1668,train
1669,train
1670,train
1671,train
1672,train
1673,val
1674,train
1675,test
1676,train
1677,val
1678,train
1679,train
1680,train
1681,train
1682,train
1683,train
1684,train
1685,val
1686,train
1687,train
1688,train
1689,train
1690,val
1691,train
1692,train
1693,train
1694,val
1695,train
1696,train
1697,train
1698,train
1699,train
1700,train
1701,train
1702,val
1703,train
1704,train
1705,train
1706,train
1707,train
1708,train
1709,train
1710,train
1711,train
1712,train
1713,train
1714,val
1715,train
1716,train
1717,train
1718,train
1719,train
1720,train
1721,test
1722,train
1723,train
1724,train
1725,train
1726,train
1727,train
1728,train
1729,test
1730,val
1731,test
1732,train
1733,val
1734,train
1735,val
1736,train
1737,train
1738,train
1739,train
1740,val
1741,val
1742,train
1743,train
1744,train
1745,train
1746,train
1747,train
1748,train
1749,train
1750,val
1751,train
1752,test
1753,train
1754,test
1755,train
1756,val
1757,train
1758,test
1759,train
1760,train
1761,train
1762,train
1763,train
1764,train
1765,val
1766,val
1767,train
1768,train
1769,test
1770,train
1771,train
1772,train
1773,val
1774,test
1775,train
1776,train
1777,train
1778,train
1779,train
1780,train
1781,train
1782,test
1783,test
1784,test
1785,train
1786,train
1787,val
1788,test
1789,train
1790,val
1791,train
1792,train
1793,train
1794,val
1795,test
1796,val
1797,train
1798,test
1799,train
1800,train
1801,train
1802,train
1803,test
1804,train
1805,test
1806,val
1807,train
1808,train
1809,train
1810,train
1811,train
1812,train
1813,val
1814,train
1815,test
1816,train
1817,test
1818,train
1819,train
1820,val
1821,test
1822,train
1823,train
1824,train
1825,val
1826,train
1827,train
1828,test
1829,train
1830,train
1831,test
1832,train
1833,train
1834,val
1835,train
1836,train
1837,train
1838,train
1839,train
1840,train
1841,train
1842,train
1843,train
1844,val
1845,train
1846,val
1847,train
1848,train
1849,test
1850,val
1851,train
1852,train
1853,train
1854,train
1855,train
1856,test
1857,test
1858,test
1859,train
1860,train
1861,train
1862,train
1863,test
1864,train
1865,train
1866,val
1867,train
1868,train
1869,train
1870,train
1871,train
